rows: 326
2931,-44,-2484
13171,-690,-9939
26465,-2636,-17808
42012,-5876,-21535
57819,-9070,-17394
74027,-11347,-10353
91562,-12763,-7040
109340,-14211,-9939
127043,-16376,-14495
145099,-19500,-19879
163210,-23598,-24020
180769,-27916,-23192
198441,-31738,-19879
216402,-35376,-21121
234245,-39548,-24848
251627,-44524,-30646
268968,-50445,-35202
286120,-56898,-35616
303395,-63012,-32717
320941,-69095,-34374
337561,-75567,-39758
354306,-83009,-44313
371117,-91452,-48869
386917,-99730,-46798
402166,-106916,-41414
418057,-113878,-41828
433283,-121114,-47212
447785,-129216,-54667
461372,-138339,-63364
473689,-148358,-72889
485610,-159926,-81172
496713,-172608,-89041
507132,-186475,-96081
516726,-201218,-102708
525379,-216812,-109748
532841,-232740,-117203
539126,-249168,-123829
544302,-266234,-130870
548292,-283615,-137910
551243,-301700,-143294
553605,-320366,-144536
555875,-339043,-145779
557608,-357776,-150334
558388,-375839,-155304
558191,-394406,-161102
556914,-412685,-166486
554723,-431371,-170213
552285,-449533,-169799
550013,-467718,-170213
547222,-485581,-175183
543621,-502299,-181809
538760,-519204,-188436
532724,-535986,-194648
525884,-552723,-196304
518695,-569580,-199204
511158,-584929,-206658
502795,-598998,-214527
493154,-612525,-222810
482076,-625872,-229850
469656,-639009,-235648
456460,-651367,-242275
442318,-663017,-248487
427465,-673748,-254699
412564,-683094,-261326
396657,-691685,-267952
380226,-699227,-274578
363584,-705638,-280790
346787,-710858,-287417
329433,-714970,-294457
312078,-717834,-301084
293607,-719732,-306882
274817,-720641,-311437
256005,-720988,-313508
237192,-720842,-317235
218647,-719895,-321377
200168,-718075,-326347
181524,-715551,-327589
163099,-713233,-325933
144923,-710896,-328832
127105,-707831,-333801
109722,-703843,-340014
92361,-698797,-344983
75136,-693296,-344155
59128,-688854,-338357
42010,-684792,-337529
24958,-680467,-340842
7890,-675291,-346226
-9344,-669071,-351610
-26107,-662291,-352438
-42338,-656172,-347882
-59464,-650371,-347054
-76242,-644317,-350781
-92748,-637561,-355337
-109089,-629825,-361135
-125007,-621252,-366105
-140659,-612199,-366105
-155905,-603925,-361549
-172283,-595702,-361135
-188063,-587389,-364862
-203669,-578259,-369832
-218538,-568411,-375216
-233049,-557625,-380186
-247147,-546698,-378943
-261415,-536408,-374802
-276434,-525907,-376044
-290933,-515106,-380186
-304877,-503599,-385984
-317927,-491443,-392196
-330610,-478217,-397580
-343001,-464060,-400479
-355043,-449605,-403378
-366390,-434906,-407520
-377018,-419681,-413318
-386342,-404478,-419530
-394759,-388478,-426156
-401874,-372392,-432783
-407958,-355628,-439823
-413094,-338294,-445621
-416927,-321378,-452662
-419376,-304455,-460945
-420356,-288118,-469642
-420017,-271021,-477096
-418341,-253512,-484551
-415342,-235932,-491592
-411207,-218835,-498218
-405792,-201587,-504844
-399358,-184954,-511057
-391773,-168543,-517683
-383298,-152851,-523895
-373810,-137750,-530936
-363129,-123164,-537562
-351542,-109286,-544188
-339058,-96211,-550815
-325576,-83802,-557027
-311740,-72549,-563239
-296661,-61715,-569037
-280981,-51767,-574007
-264784,-42196,-575250
-248853,-32653,-574421
-232780,-23353,-577734
-215931,-14447,-581876
-199136,-6529,-586846
-181968,545,-591816
-164490,6817,-595957
-146520,12383,-600513
-128510,16901,-606311
-110751,20285,-612937
-92810,22516,-619564
-74762,23568,-625362
-56439,23516,-631574
-38392,22445,-637372
-19955,20242,-643170
-1672,17001,-648140
16475,13064,-649797
34419,9344,-647726
52842,5528,-649797
70899,1195,-653938
88749,-3920,-658908
106821,-9969,-662221
124116,-16029,-660979
141364,-21450,-656837
159180,-26689,-657665
176630,-32284,-661393
193593,-38541,-666363
210900,-45917,-670090
226803,-52849,-668019
243786,-59734,-666777
259730,-66569,-671332
274810,-74102,-678373
289296,-82722,-685413
303819,-92647,-690383
317780,-102528,-688727
332678,-112336,-684999
347641,-122044,-687070
362270,-132248,-691626
376522,-143372,-697424
390355,-155389,-701980
403813,-167828,-702394
417669,-180191,-700737
431456,-192631,-703222
444612,-205387,-707778
457118,-218779,-713162
469071,-232671,-714404
480804,-245777,-710262
492782,-258663,-711919
503781,-271438,-717303
513631,-284509,-725172
522321,-298378,-733869
529538,-312521,-742566
535797,-327907,-750849
540858,-343985,-758718
544783,-360880,-766586
547452,-378265,-774041
548817,-395557,-781081
548917,-413146,-788536
547807,-430700,-795162
545474,-448628,-801789
542026,-466874,-805930
538076,-485269,-806344
534054,-503398,-808829
529279,-521595,-813385
523779,-539074,-818769
517285,-556209,-824153
509922,-572988,-829537
501529,-589826,-833264
492907,-606273,-832436
484544,-622854,-832436
476090,-638835,-836577
467267,-653484,-843203
457400,-667450,-850658
446249,-681054,-857285
434151,-694160,-861840
421200,-707468,-864325
408101,-719930,-869295
394820,-731087,-876336
381126,-740915,-884204
366311,-749935,-891245
350880,-757856,-898286
334710,-764778,-905740
318087,-770527,-912367
300881,-775220,-919407
283402,-778763,-925620
265250,-781263,-931832
247225,-782662,-937630
229149,-782963,-944256
211093,-782067,-950883
193384,-779964,-957923
175857,-776663,-964136
158323,-772256,-969934
140810,-766867,-974489
122808,-760607,-976974
104937,-753985,-979459
87782,-746878,-984429
70765,-738858,-988984
54093,-730140,-991883
37459,-721349,-989813
21157,-712976,-991055
5127,-704099,-995611
-10245,-694583,-1000580
-24871,-684376,-1005964
-39443,-673264,-1008035
-53007,-663252,-1003479
-67454,-653649,-999752
-82338,-643820,-1002651
-96657,-633601,-1006793
-110824,-622369,-1011762
-124458,-610493,-1015076
-137773,-598996,-1011762
-152012,-587459,-1010520
-165694,-576017,-1014247
-178866,-563991,-1018803
-191759,-550971,-1024187
-204097,-537095,-1029157
-215789,-523302,-1028328
-227439,-510450,-1023773
-239738,-497530,-1024187
-251692,-484293,-1027914
-262893,-470728,-1032884
-273817,-456018,-1038268
-284044,-440811,-1041167
-294227,-425871,-1037854
-304834,-411227,-1037025
-315178,-396397,-1040339
-325050,-380960,-1044894
-333997,-365249,-1050692
-341920,-349271,-1056076
-349437,-332291,-1059389
-356800,-314977,-1059804
-363795,-297512,-1063531
-369813,-280204,-1068915
-374584,-263274,-1075541
-377926,-246753,-1083410
-379959,-230020,-1091279
-380821,-212451,-1097905
-380629,-194373,-1102875
-379564,-176080,-1108259
-377514,-158610,-1114886
-374227,-142079,-1123583
-369671,-126360,-1132280
-363598,-110374,-1139735
-356232,-94671,-1146775
-347563,-79085,-1153816
-337919,-64083,-1160028
-327329,-49733,-1166240
-315657,-35928,-1172867
-303273,-23094,-1179907
-290046,-11131,-1186120
-276047,-83,-1193160
-261321,9976,-1200201
-245984,19078,-1206413
-229660,27401,-1212625
-213293,34484,-1218837
-196277,40590,-1225464
-178443,45759,-1231262
-160352,49942,-1236232
-141649,53607,-1237888
-123174,57166,-1237474
-104661,60517,-1240373
-86044,63234,-1244100
-67574,65147,-1248242
-49037,66223,-1253212
-30225,66416,-1257767
-11428,65660,-1263151
6809,63894,-1269363
24672,61110,-1275161
42331,57235,-1281788
59705,52236,-1287586
76754,46221,-1293384
93422,39217,-1299182
109873,31151,-1305394
126041,22018,-1310364
142319,12105,-1311192
158074,2746,-1309950
174163,-7007,-1312849
189502,-17032,-1316576
204803,-27978,-1321132
219468,-39370,-1323617
233389,-50126,-1320303
246252,-59013,-1313677
259149,-66475,-1304152
272707,-72655,-1294626
286594,-77335,-1283858
300663,-80450,-1273505
315449,-82294,-1264808
331315,-82939,-1256939
347183,-82351,-1249898
