X_cm,Y_cm
55.9336,8.9464
59.9077,9.6709
64.2212,10.6542
68.4677,11.3607
72.5307,11.5503
77.2789,11.1892
81.8757,9.8607
86.3384,7.7682
90.3340,5.0312
94.6492,1.0214
97.9891,-3.0796
100.9908,-7.5842
103.9213,-13.3196
105.7629,-18.4491
107.1538,-23.7597
108.4376,-30.2283
109.2985,-35.9534
109.9466,-41.3615
110.6956,-47.2991
111.5609,-52.9247
112.6145,-58.4178
114.1731,-64.3919
115.8101,-69.3389
117.7480,-74.3481
120.2075,-79.8944
122.4498,-84.5318
124.9096,-89.0950
127.7405,-94.4920
129.2638,-99.4537
129.6504,-104.7370
128.5906,-110.9424
126.7297,-115.7989
124.2433,-120.2965
119.5825,-125.4699
115.8767,-128.6888
111.8980,-131.4274
105.5665,-133.9782
101.2157,-135.4174
96.8430,-136.5837
89.9500,-137.3498
85.6488,-138.1085
81.2954,-138.9741
75.1825,-139.8607
71.0340,-141.0940
67.0478,-142.6795
63.0497,-144.4741
57.5953,-146.9033
53.5753,-149.1883
49.7763,-151.5893
44.7314,-154.7558
40.8803,-157.6540
37.0792,-160.4301
32.1982,-163.4189
28.7142,-165.8211
52.5120,-176.5016
52.2263,-176.7577
50.6814,-173.7545
48.9222,-170.1269
47.1944,-166.4874
44.9264,-161.1467
43.2305,-157.2626
41.5817,-153.5432
39.3877,-148.3060
37.5932,-144.2750
35.8472,-140.4342
33.1300,-135.4346
30.7313,-132.0014
28.2290,-128.4587
24.8199,-123.6939
22.2208,-120.4706
19.5101,-117.2644
16.6218,-113.9750
12.6791,-109.5533
9.7373,-106.6159
6.8263,-103.5277
3.0073,-98.6516
0.4772,-95.4417
-2.1020,-92.2932
-5.9615,-87.2673
-8.6161,-84.1412
-13.8516,-78.5671
-18.3937,-74.1069
-21.3264,-71.1936
-24.1599,-68.2310
-28.1737,-63.5559
-31.2001,-60.2173
-34.2089,-57.3691
-37.2589,-54.6237
-37.8960,-81.9510
-37.5048,-81.4687
-35.1467,-78.7458
-32.5293,-75.7306
-28.4010,-71.2492
-25.7946,-68.3887
-22.9693,-65.3991
-20.1684,-62.6607
-16.3204,-57.9646
-14.1542,-54.6878
-11.6433,-51.4235
-7.3750,-46.7719
-4.5618,-44.1173
-1.4016,-41.4855
3.9193,-37.6111
7.1317,-35.3656
10.4527,-32.8966
19.0063,-26.0139
21.7606,-23.3680
27.1990,-19.5306
30.4688,-17.9382
36.8603,-14.1730
42.0796,-10.4078
44.8929,-7.7176
47.3672,-4.7076
51.0287,0.9506
53.0152,4.3168
