# Robot Trajectory - 2026-02-14 22:50:09
# Points: 385
# Format: x_cm,y_cm (relative to arena origin)
# Arena scale: 5 pixels per cm
#
94.40,-211.20
93.80,-211.80
93.00,-210.40
91.20,-210.40
91.20,-211.20
91.20,-210.40
90.00,-210.40
90.00,-210.40
89.20,-209.80
89.20,-209.80
87.80,-209.20
87.20,-209.20
86.40,-208.60
85.20,-208.60
86.60,-209.20
85.20,-207.80
85.20,-208.60
84.60,-208.60
83.80,-207.20
84.80,-209.20
82.40,-206.60
81.20,-206.60
80.80,-205.20
80.20,-205.20
80.00,-204.60
80.00,-204.60
78.40,-202.40
78.20,-201.00
79.00,-202.40
78.40,-202.40
77.40,-200.40
75.40,-196.80
75.20,-196.20
75.00,-194.80
75.00,-194.80
75.20,-196.20
74.20,-194.00
73.40,-193.40
73.20,-192.60
73.60,-191.80
72.80,-191.20
72.80,-190.40
72.00,-189.80
72.80,-191.20
73.20,-189.80
73.20,-189.80
72.60,-189.80
72.20,-188.20
71.60,-185.20
70.20,-181.60
70.00,-180.80
53.40,-153.00
46.00,-146.00
13.40,-109.20
161.80,-106.80
161.80,-105.80
162.60,-107.80
162.60,-109.00
162.60,-110.00
162.60,-110.00
162.60,-111.00
162.60,-112.00
162.60,-112.00
162.60,-114.20
162.60,-114.20
162.60,-115.20
162.60,-115.20
162.60,-117.20
162.60,-117.20
162.60,-118.20
162.40,-119.20
162.40,-120.20
162.40,-120.20
162.40,-120.20
162.40,-121.20
162.40,-122.20
163.20,-122.20
163.20,-123.20
163.20,-126.20
163.20,-126.20
163.20,-127.00
163.20,-128.00
163.20,-128.00
163.20,-129.00
163.20,-130.00
163.20,-130.00
163.20,-131.00
163.20,-131.80
163.20,-132.80
163.20,-132.80
163.20,-132.80
163.20,-134.80
163.20,-134.80
163.20,-135.60
163.20,-136.60
163.20,-136.60
163.00,-137.60
163.00,-138.40
163.00,-139.40
163.00,-139.40
163.00,-140.40
163.00,-141.20
163.00,-142.20
163.00,-142.20
163.00,-144.00
163.00,-144.80
163.00,-144.80
163.00,-145.80
163.00,-146.60
163.00,-145.80
163.00,-146.60
163.00,-148.40
163.00,-148.40
163.00,-149.40
163.00,-151.00
163.00,-150.20
163.00,-151.00
163.00,-152.80
163.00,-152.80
163.00,-153.60
163.00,-154.60
163.00,-155.40
163.00,-156.20
163.00,-157.20
163.00,-157.20
163.00,-158.00
163.00,-158.00
163.00,-158.80
162.80,-159.60
162.80,-160.40
162.80,-161.40
162.80,-162.20
162.80,-162.20
162.80,-163.00
162.80,-163.80
162.80,-163.80
162.80,-163.00
162.20,-165.40
162.80,-165.40
162.80,-167.00
162.80,-168.00
162.80,-168.00
163.40,-168.80
162.80,-168.80
162.80,-170.40
163.40,-170.40
163.40,-171.20
163.40,-172.00
163.40,-172.80
163.40,-173.60
163.40,-173.60
163.40,-174.20
163.40,-175.00
163.40,-175.80
163.40,-176.60
163.40,-177.40
163.40,-177.40
163.40,-178.20
163.40,-178.20
163.40,-179.80
163.40,-180.40
163.40,-180.40
163.40,-181.20
163.40,-182.80
163.40,-182.80
163.40,-183.60
163.40,-184.20
163.40,-185.00
163.40,-185.00
163.40,-185.80
163.40,-186.60
164.00,-187.20
164.00,-188.00
164.00,-188.80
164.00,-189.40
164.00,-190.20
164.00,-190.20
164.00,-191.00
163.80,-192.40
163.80,-192.40
163.80,-193.00
163.80,-193.80
164.60,-194.60
164.40,-195.20
164.40,-196.00
164.40,-196.60
164.40,-196.60
164.40,-197.40
164.40,-198.00
164.40,-198.80
164.40,-200.20
164.40,-200.80
164.40,-200.80
164.40,-201.60
164.40,-202.20
164.40,-202.80
164.40,-203.60
164.40,-204.20
164.40,-205.60
165.00,-206.20
164.40,-206.20
164.40,-207.00
164.40,-207.60
164.40,-208.20
164.40,-209.00
164.40,-209.60
164.20,-211.00
164.80,-211.60
164.80,-211.60
164.80,-212.80
164.80,-213.60
164.80,-214.20
164.80,-214.20
164.20,-214.80
164.80,-215.40
164.20,-216.00
164.80,-217.40
164.80,-218.00
164.80,-218.60
164.20,-219.20
164.20,-219.80
164.80,-220.60
164.20,-221.20
164.20,-221.80
164.20,-223.00
164.80,-223.00
164.60,-224.20
164.60,-224.20
164.60,-224.20
164.60,-224.80
164.60,-225.40
164.60,-226.00
164.60,-226.00
164.60,-227.20
164.60,-227.80
164.60,-227.80
164.60,-228.40
164.00,-229.00
164.00,-229.00
164.00,-228.40
164.00,-228.40
164.00,-229.00
164.00,-229.00
164.00,-229.00
164.00,-229.00
164.00,-229.00
163.40,-229.00
164.00,-228.40
163.40,-229.00
164.00,-229.00
164.00,-229.00
164.00,-229.00
164.00,-228.40
164.00,-229.00
164.00,-229.00
164.00,-228.40
164.00,-229.00
164.00,-229.00
164.00,-228.40
164.00,-228.40
164.00,-228.40
164.00,-229.00
164.00,-229.00
164.00,-229.00
164.00,-227.80
164.00,-227.80
164.00,-227.20
164.00,-226.00
163.40,-226.00
163.40,-226.00
163.40,-225.40
164.00,-224.80
164.00,-224.80
164.20,-224.20
164.20,-223.60
164.20,-223.00
164.20,-222.40
163.60,-221.80
163.60,-221.20
163.60,-220.60
163.60,-219.80
163.60,-218.60
163.60,-218.60
163.60,-218.00
163.00,-217.40
163.60,-217.40
163.60,-217.40
163.00,-217.40
163.00,-217.40
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.00
163.00,-218.00
163.60,-218.00
163.60,-218.00
163.60,-218.60
163.60,-219.20
163.60,-219.80
163.60,-219.80
164.20,-219.80
164.20,-220.60
164.20,-221.20
164.80,-221.20
164.80,-221.80
164.20,-221.80
164.80,-221.80
164.80,-221.80
164.80,-222.40
164.80,-223.00
164.80,-223.00
164.80,-223.60
164.80,-223.60
164.60,-224.20
164.60,-224.20
164.60,-224.80
164.60,-225.40
164.00,-225.40
164.00,-225.40
164.00,-226.00
164.00,-226.00
163.40,-226.60
163.40,-226.60
163.40,-226.60
162.80,-226.60
162.80,-227.20
163.40,-227.20
163.40,-227.20
162.80,-227.20
162.80,-227.20
162.80,-227.20
162.40,-227.20
162.40,-227.20
162.40,-227.20
162.40,-227.20
162.40,-227.20
162.80,-227.20
162.80,-227.80
162.20,-227.80
161.80,-229.00
161.20,-229.00
160.60,-229.00
160.00,-228.40
159.40,-228.40
158.80,-228.40
158.20,-228.40
157.60,-227.80
157.00,-228.40
156.40,-227.80
155.80,-227.80
155.20,-227.20
155.20,-227.80
154.00,-227.20
153.40,-226.60
152.80,-226.60
151.80,-226.00
151.20,-226.60
151.20,-226.00
150.60,-226.00
150.60,-226.60
147.60,-225.40
146.40,-226.80
145.80,-224.80
145.20,-224.20
145.20,-224.80
143.40,-224.20
142.80,-223.60
142.20,-223.60
141.00,-223.00
142.20,-224.20
141.00,-223.00
141.60,-224.20
141.00,-223.60
140.40,-224.20
136.80,-222.40
136.20,-221.80
