Frame, X_cm, Y_cm
60, 65.45, 171.22
61, 65.57, 171.58
62, 66.32, 171.06
63, 66.32, 171.06
64, 65.69, 170.05
65, 64.12, 168.08
66, 64.12, 168.08
67, 64.99, 167.91
68, 64.01, 167.72
69, 64.01, 167.72
70, 63.19, 165.20
71, 63.25, 166.34
72, 65.11, 166.37
73, 63.19, 165.20
74, 63.94, 164.67
75, 63.94, 164.67
76, 61.31, 163.24
77, 60.88, 160.99
78, 61.12, 161.73
79, 59.63, 160.06
80, 59.22, 159.75
81, 59.22, 159.75
82, 59.22, 159.75
83, 59.22, 159.75
84, 59.27, 158.95
85, 58.73, 158.27
86, 58.36, 157.15
87, 57.28, 155.77
88, 57.28, 155.77
89, 57.15, 155.40
90, 56.73, 155.08
91, 55.77, 154.07
92, 55.77, 154.07
93, 55.51, 153.31
94, 55.51, 153.31
95, 55.05, 153.81
96, 54.07, 152.79
97, 54.07, 152.79
98, 53.10, 151.77
99, 53.10, 151.77
100, 51.86, 149.98
101, 51.86, 149.98
102, 52.84, 151.01
103, 51.99, 150.36
104, 52.50, 151.88
105, 52.12, 150.74
106, 50.87, 148.95
107, 50.57, 149.01
108, 49.15, 147.65
109, 49.15, 147.65
110, 48.29, 146.99
111, 47.86, 146.67
112, 47.86, 146.67
113, 47.73, 146.28
114, 47.29, 145.95
115, 47.29, 145.95
116, 46.99, 146.01
117, 44.99, 143.91
118, 44.99, 143.91
119, 44.55, 143.58
120, 44.25, 143.64
121, 43.68, 142.92
122, 43.68, 142.92
123, 41.32, 141.71
124, 41.32, 141.71
125, 42.50, 142.32
126, 40.74, 140.99
127, 40.30, 140.65
128, 39.56, 140.38
129, 39.12, 140.04
130, 38.37, 139.77
131, 38.37, 139.77
132, 38.82, 140.11
133, 36.90, 138.36
134, 37.91, 140.29
135, 35.99, 138.55
136, 36.44, 138.89
137, 36.44, 138.89
138, 35.71, 137.75
139, 33.77, 136.00
140, 33.18, 135.25
141, 32.88, 135.32
142, 34.08, 135.93
143, 34.08, 135.93
144, 30.93, 133.55
145, 30.93, 133.55
146, 30.94, 132.67
147, 30.02, 132.86
148, 29.42, 132.11
149, 28.82, 131.36
150, 28.36, 131.01
151, 27.90, 130.67
152, 29.27, 131.70
153, 29.27, 131.70
154, 26.84, 129.56
155, 26.84, 129.56
156, 26.08, 129.28
157, 25.47, 128.52
158, 25.31, 128.11
159, 24.24, 126.99
160, 23.47, 126.71
161, 23.01, 126.36
162, 22.70, 125.53
163, 22.08, 125.66
164, 22.08, 125.66
165, 21.62, 125.30
166, 20.69, 124.60
167, 19.76, 123.89
168, 19.60, 123.47
169, 20.22, 123.34
170, 19.75, 122.99
171, 19.75, 122.99
172, 18.96, 121.79
173, 18.80, 121.36
174, 18.95, 120.88
175, 17.70, 120.23
176, 17.70, 120.23
177, 17.38, 119.37
178, 17.69, 119.31
179, 17.06, 118.52
180, 17.06, 118.52
181, 18.01, 120.16
182, 16.73, 117.67
183, 16.73, 117.67
184, 16.41, 116.81
185, 16.41, 116.81
186, 14.95, 113.85
187, 15.28, 114.72
188, 15.28, 114.72
189, 15.11, 114.29
190, 14.12, 111.67
191, 14.12, 111.67
192, 14.27, 111.17
193, 14.58, 111.10
194, 14.87, 110.08
195, 14.87, 110.08
196, 14.52, 108.25
197, 14.67, 107.74
198, 15.15, 108.11
199, 15.15, 108.11
200, 14.80, 106.27
201, 14.95, 105.75
202, 15.25, 104.71
203, 15.40, 104.20
204, 15.40, 104.20
205, 15.72, 104.13
206, 15.70, 103.16
207, 16.00, 102.11
208, 16.15, 101.59
209, 16.47, 101.52
210, 16.47, 101.52
211, 16.77, 100.47
212, 16.61, 100.01
213, 16.74, 98.50
214, 16.74, 98.50
215, 17.05, 97.44
216, 17.53, 96.83
217, 17.53, 96.83
218, 17.67, 95.31
219, 17.67, 95.31
220, 18.16, 95.69
221, 17.97, 94.23
222, 18.45, 93.62
223, 18.61, 93.08
224, 18.77, 92.54
225, 18.92, 92.00
226, 19.08, 91.46
227, 19.56, 90.84
228, 19.72, 90.30
229, 20.20, 89.68
230, 20.36, 89.13
231, 20.52, 88.59
232, 21.01, 87.96
233, 21.01, 87.96
234, 21.66, 87.81
235, 21.65, 86.79
236, 22.14, 86.16
237, 21.97, 85.68
238, 22.79, 84.98
239, 22.96, 84.42
240, 23.29, 84.35
241, 23.78, 84.75
242, 24.11, 83.64
243, 24.10, 82.60
244, 24.10, 82.60
245, 24.93, 82.93
246, 25.26, 81.81
247, 25.10, 81.32
248, 25.43, 80.20
249, 25.43, 79.15
250, 26.09, 77.94
251, 26.09, 77.94
252, 26.26, 77.37
253, 26.43, 76.80
254, 27.10, 76.64
255, 27.26, 76.07
256, 27.43, 75.50
257, 27.60, 74.93
258, 27.77, 74.35
259, 28.28, 73.70
260, 28.28, 73.70
261, 28.28, 72.62
262, 28.29, 71.55
263, 28.46, 70.96
264, 28.46, 70.96
265, 28.63, 70.38
266, 28.97, 69.22
267, 29.14, 68.63
268, 29.48, 68.55
269, 29.32, 68.05
270, 29.32, 68.05
271, 29.66, 66.87
272, 29.84, 66.28
273, 30.01, 65.69
274, 30.19, 65.10
275, 30.19, 63.99
276, 30.88, 63.83
277, 30.88, 63.83
278, 30.88, 63.83
279, 31.05, 63.23
280, 31.06, 62.12
281, 31.07, 61.00
282, 30.74, 59.97
283, 30.74, 59.97
284, 30.91, 59.36
285, 31.76, 60.84
286, 31.60, 59.20
287, 31.45, 57.55
288, 31.45, 57.55
289, 31.46, 56.42
290, 31.46, 56.42
291, 31.46, 56.42
292, 32.32, 56.77
293, 31.98, 55.72
294, 31.99, 54.58
295, 32.17, 53.97
296, 31.50, 51.84
297, 31.50, 51.84
298, 32.18, 52.82
299, 31.51, 50.69
300, 31.17, 49.62
301, 31.17, 49.62
302, 31.87, 49.45
303, 31.87, 49.45
304, 31.87, 49.45
305, 31.19, 47.29
306, 31.54, 47.21
307, 31.54, 47.21
308, 31.72, 46.58
309, 31.72, 46.58
310, 30.51, 43.94
311, 30.69, 43.31
312, 31.04, 43.22
313, 31.04, 43.22
314, 30.17, 41.66
315, 31.05, 42.04
316, 30.71, 40.94
317, 30.71, 40.94
318, 30.53, 40.38
319, 30.36, 39.83
320, 30.72, 39.74
321, 30.37, 38.63
322, 29.31, 36.50
323, 29.14, 35.94
324, 29.85, 36.96
325, 29.14, 34.72
326, 29.14, 34.72
327, 30.90, 39.10
328, 29.15, 33.51
329, 29.68, 33.98
330, 29.68, 33.98
331, 28.98, 31.72
332, 28.80, 31.15
333, 28.98, 30.49
334, 28.81, 29.92
335, 28.81, 28.69
336, 28.81, 28.69
337, 29.35, 29.17
338, 29.35, 29.17
339, 29.00, 28.02
340, 29.36, 27.93
341, 28.82, 26.21
